,Address,Beds,Baths,Price,Sqft,Sqft_lot,Description,Street,District,City,State,Zip Code
0,"10700 Plains Trl, Austin, TX 78758",4.0,2.0,599999.0,1560.0,14810.400000000001,"Remodeled duplex on unique double corner lot. Two units of 2 beds, 1 bath. Covered carport. No shared walls. Huge fenced in yards. Updates include: windows, roof and fencing. Items within the last 3 years- paint, tile in kitchen and bath, flooring, lighting fixtures, front doors, Bathroom fixtures, Dishwasher, Gutters , butcher block counter tops for eat-in kitchen and more. Unit B upgrades: windows, Air Conditioner Unit, new/ upgraded plumbing. Excellent rental property near the domain, soccer stadium and easy access to I-35 and Mopac for commuting. Rental income $1750/each side. Great for investors or a buyer living in one side and renting the other for rental income. Potential for adding",10700 Plains Trl,Austin,Austin,TX,78758
1,"1606 Redd St Unit B, Austin, TX 78745",2.0,2.5,599980.0,1060.0,,"Experience contemporary living in this stunning stand-alone condo situated on a spacious corner lot. This 2-bedroom, 2.5-bathroom home boasts an open floor plan with an abundance of natural light throughout. The chef's kitchen features a large quartz center island, ideal for culinary creations. All-wood flooring throughout the home is both elegant and easy to maintain. Step outside to your private yard, perfect for entertaining guests. Located in a prime area, you'll be just minutes away from downtown and Central Market, making this home a perfect blend of convenience and modern comfort.",1606 Redd St Unit B,Austin,Austin,TX,78745
2,"6001 Bullard Dr, Austin, TX 78757",6.0,5.0,4100000.0,5281.0,19602.0,"A one of a kind custom-built oasis in convenient and highly desirable Allandale. Built with longevity and luxury living at the forefront. Upon entering the grand foyer you're enveloped with warmth and natural privacy as the exterior limestone flows inside and the lush green of the backyard spills in through abundant windows. This five bed, six full bath home offers the primary suite on the first floor as well as a full guest suite. 12' ceilings create a grand feel with a great room living/entertainers kitchen/dining/lounge area. Multiple sliders give access to multiple outdoor living areas. Windows run along the back side of the home to create an &quot;outside flows in&quot; experience with",6001 Bullard Dr,Austin,Austin,TX,78757
3,"1415 Barbergale St, Pflugerville, TX 78660",5.0,3.0,399980.0,1858.0,,"Great Investment Opportunity! This duplex, situated on a spacious oversized lot, features a shared driveway and carport. Unit A boasts 3 bedrooms and 2 bathrooms with a combination of tile and carpet flooring, and has been well maintained. It offers a private yard with a covered patio and a walkway leading to an additional covered sitting area. Unit B includes 2 bedrooms and 1 bathroom with all-tile flooring, and has access to its own oversized private yard. Conveniently located with easy access to I-35, this property presents a fantastic opportunity for investors.",1415 Barbergale St,Pflugerville,Pflugerville,TX,78660
4,"2131 Cervin Blvd, Austin, TX 78728",2.0,2.0,350000.0,1166.0,,"Welcome to your new oasis in Wells Branch, Austin! Nestled on a fabulous large corner lot, with a lush front yard and the privacy of a fenced backyard complete with a wooden deck adorned with strung lights and a spacious storage shed, this residence is a true retreat. The interior features a bright and airy living, dining, and kitchen area enhanced by vaulted ceilings, a cozy wood-burning fireplace, and modern fixtures throughout. Enjoy the ease of stainless steel appliances and luxury vinyl plank flooring that adds a touch of elegance to every room. Technology enthusiasts will appreciate the smart home features including a Ring alarm system with monitoring at the front door, garage, and ba",2131 Cervin Blvd,Austin,Austin,TX,78728
5,"4613 Jade Oasis Dr, Manor, TX 78653",5.0,2.5,555000.0,3482.0,,"Wonderful opportunity to have nearly new construction without paying for the upgrades! This stunning East Village home boasts tons of natural light through its 41 windows, all complete with blinds! Looking for the perfect lot? This is it! the home sits on an elevated lot with panoramic views above the neighborhood. Located conveniently between Parmer  &amp;  Howard Ln and between IH35 and 130 for multiple commuting routes. Enjoy a very open  &amp;  spacious floorplan with four large bedrooms and a dedicated office with a closet on the main floor that could be a perfect guest room. The kitchen offers a huge granite island, wood grain cabinets, an amazing butler's pantry, smooth top stove, wa",4613 Jade Oasis Dr,Manor,Manor,TX,78653
6,"5213 Huisache St, Austin, TX 78751",3.0,3.0,630000.0,1164.0,,"Welcome to your dream home in the heart of Austin, Texas! This exceptionally crafted residence stands out among its peers with superior build quality and meticulous attention to detail. From its sturdy construction to the thoughtful design and choice of premium materials, this house exudes solidity and durability. Located in one of Austin's most coveted areas, convenience is at your doorstep. Enjoy proximity to iconic local spots such as Epoch Coffee, Central Market, major hospitals, UT Austin, the upcoming H Mart, and Crescent Mall. Whether you're heading downtown, to Barton Springs, or Round Rock, each destination is just a quick 10-15 minute drive away, ensuring you're always near the ac",5213 Huisache St,Austin,Austin,TX,78751
7,"1840 Burton Dr #184, Austin, TX 78741",1.0,1.0,179990.0,378.0,,"Welcome to this beautifully remodeled one-bedroom, one-bathroom condo. This first-floor unit offers easy access to the pool and parking, ensuring a quiet and comfortable living experience. The condo features a well-thought-out layout, maximizing the use of space, and boasts new paint inside and out. Enjoy the modern touch of new luxury vinyl plank flooring, new baseboards, fans, light fixtures, switches, a new vanity, a barn door, and a sliding patio door. The HVAC system was replaced in 2023, ensuring your comfort year-round. With proximity to public transportation and bike lanes, as well as off-street parking, this condo is perfect for urban living. Conveniently located near downtown, the",1840 Burton Dr #184,Austin,Austin,TX,78741
8,"5200 Trading Bnd, Austin, TX 78735",3.0,2.5,685000.0,1899.0,,"Welcome home to the prestigious community of Travis Country, with its prime location, mere minutes from downtown Austin. This two-story home features 3 bedrooms and 2.5 baths, nestled on an oversized, wooded lot. Step inside to an abundance of natural light, and as an added bonus, there is only tile and wood flooring throughout. The living room boasts a wall of windows, soaring ceilings, and a central fireplace, creating an inviting and spacious atmosphere. There is both a formal dining room surrounded by windows and an eat-in kitchen, providing ample space for entertaining guests. The kitchen offers a large center island, breakfast nook, and direct access to the backyard patio. Upstairs, y",5200 Trading Bnd,Austin,Austin,TX,78735
9,"11403 Blackmoor Dr, Austin, TX 78759",4.0,2.0,649000.0,1903.0,,"Welcome to this charming four-bedroom, two-bathroom home, nestled in the heart of Northwest Austin. The current owners have meticulously enhanced the home with fresh interior paint, refinished cabinets, updated appliances (refrigerator, microwave, hot water heater, washer, and dryer), new blinds, new sod, and installed automatic sprinklers. They've also replaced ceiling fans, faucets, bathroom fixtures, door knobs, and added electronic deadbolts on the front door and garage. Additionally, the garage now includes a 240V EV plug. Enjoy new light fixtures and replaced carpet throughout. The shaded backyard is perfect for entertaining, complemented by a large deck and ample yard space. Zoned fo",11403 Blackmoor Dr,Austin,Austin,TX,78759
