,Address,Price,Bed,Bath,SQFT,Description,latitude,longitude,Listing URL,Picture,Street,City,State,Zip Code
0,"12024 Pepperidge Dr, Austin, TX 78739","$3,000/mo",3 beds,2.5 baths,"2,694 sq ft","This 3-bedroom home with a spacious loft is ready for you in the highly sought-after Meridian subdivision in Southwest Austin. Offering the perfect blend of comfort, convenience, and style, this home ",30.1877333,-97.9235479,https://www.redfin.com/TX/Austin/12024-Pepperidge-Dr-78739/home/31105899,https://ssl.cdn-redfin.com/photo/rent/2e017064-1360-4a32-8a55-9e496df917e6/islphoto/genIsl.0_1.jpg,12024 Pepperidge Dr, Austin,TX,78739
1,"12226 Forsythe Dr, Austin, TX 78759","$2,495/mo",3 beds,2 baths,"1,376 sq ft","Easy access to 183, 45, MoPac, and Parmer. Only 5 Miles to The Domain and 15 Miles to downtown Austin. <br><br>Completely remodeled to include: New exterior & interior paint, new quartz countertops an",30.4171958,-97.7162344,https://www.redfin.com/TX/Austin/12226-Forsythe-Dr-78759/home/31930961,https://ssl.cdn-redfin.com/photo/rent/2e017064-1360-4a32-8a55-9e496df917e6/islphoto/genIsl.1_1.jpg,12226 Forsythe Dr, Austin,TX,78759
2,"805 Leonard St, Austin, TX 78705","$6,995/mo",5 beds,3.5 baths,"2,975 sq ft","Immaculate, 5 bed 3.5 bath house with huge rooms and large backyard just steps away from the UT campus and a short drive from downtown. Beautiful, quiet neighborhood with Eastwood Park just a few step",30.2898647,-97.7307044,https://www.redfin.com/TX/Austin/805-Leonard-St-78705/home/31404970,https://ssl.cdn-redfin.com/photo/rent/2e017064-1360-4a32-8a55-9e496df917e6/islphoto/genIsl.14_1.jpg,805 Leonard St, Austin,TX,78705
3,"6905 Cherry Meadow Dr, Austin, TX 78745","$2,300/mo",3 beds,1 bath,"1,040 sq ft",Beautiful and very modern stand-alone house right off of 45th St in Hyde Park. There is a separate bathroom for each bedroom. Wood and tile floors throughout the entire unit. Updated kitchen with tile,30.2008809,-97.8028714,https://www.redfin.com/TX/Austin/6905-Cherry-Meadow-Dr-78745/home/31762250,https://ssl.cdn-redfin.com/photo/rent/94924523-a461-4c14-95e0-ab99a2059b38/islphoto/genIsl.0_1.jpg,6905 Cherry Meadow Dr, Austin,TX,78745
4,"712 E 45th St, Austin, TX 78751","$3,995/mo",5 beds,5.5 baths,"2,752 sq ft","Living is easy in this impressive, generously spacious, fully remodeled house in a fantastic location in North Campus, walking distance to UT and just minutes from Downtown. The open floor plan has 4 ",30.3058559,-97.7211227,https://www.redfin.com/TX/Austin/712-E-45th-St-78751/home/31424174,https://ssl.cdn-redfin.com/photo/rent/94924523-a461-4c14-95e0-ab99a2059b38/islphoto/genIsl.1_1.jpg,712 E 45th St, Austin,TX,78751
5,"209 E 31st St, Austin, TX 78705","$3,550/mo",4 beds,2 baths,"1,689 sq ft","This charming bungalow provides all the charm Austin has to offer.  Located in the highly acclaimed Bouldin area of Austin close to Lady Bird Lake, Zilker Park, Barton Springs,  DT Austin with access ",30.2940428,-97.7357136,https://www.redfin.com/TX/Austin/209-E-31st-St-78705/home/31411458,https://ssl.cdn-redfin.com/photo/rent/94924523-a461-4c14-95e0-ab99a2059b38/islphoto/genIsl.10_1.jpg,209 E 31st St, Austin,TX,78705
6,"905 Jewell St, Austin, TX 78704","$3,400/mo",2 beds,1 bath,"1,000 sq ft","Single story Circle C home backs to greenbelt with Gorzycki MS right around the corner. Hickory wood floors, travertine tile, stainless appliances, glass front cabinets, quartz countertops. Great floo",30.251478,-97.7589031,https://www.redfin.com/TX/Austin/905-Jewell-St-78704/home/31198907,https://ssl.cdn-redfin.com/photo/rent/e0f8ac1f-24ec-48ab-9472-d6b11ef9fb13/islphoto/genIsl.0_1.jpg,905 Jewell St, Austin,TX,78704
7,"9012 Colberg Dr, Austin, TX 78749","$2,775/mo",4 beds,2 baths,"1,976 sq ft","Additional Photography forthcoming- Call with any Questions!<br><br>So much space! you'll love the fantastic 4 bedroom, 2.5 bath, 2 story house with 2497 sq ft of living space. The kitchen has storage",30.2141481,-97.8897126,https://www.redfin.com/TX/Austin/9012-Colberg-Dr-78749/home/31752475,https://ssl.cdn-redfin.com/photo/rent/e0f8ac1f-24ec-48ab-9472-d6b11ef9fb13/islphoto/genIsl.1_1.jpg,9012 Colberg Dr, Austin,TX,78749
8,"6420 Conestoga Wagon Way, Del Valle, TX 78617","$2,445/mo",4 beds,2 baths,"2,497 sq ft","Welcome to this charming 1937-built house located at 2502 East 2nd Street in the heart of Austin, TX. This cozy home offers 1008 sqft of living space with a classic design that exudes character and wa",30.1636553,-97.6346294,https://www.redfin.com/TX/Del-Valle/6420-Conestoga-Wagon-Way-78617/home/169747163,https://ssl.cdn-redfin.com/photo/rent/e0f8ac1f-24ec-48ab-9472-d6b11ef9fb13/islphoto/genIsl.32_1.jpg,6420 Conestoga Wagon Way, Del Valle,TX,78617
9,"2502 E 2nd St, Austin, TX 78702","$2,695/mo",3 beds,1 bath,— sq ft,"Newly renovated home (Granite Countertop and Kitchen island with deep sink, Sink mounted soap dispenser, New Cooking Range, All new Fence, Drip Irrigation) for rent offered in sought after community (",30.2553407,-97.7159475,https://www.redfin.com/TX/Austin/2502-E-2nd-St-78702/home/31365235,https://ssl.cdn-redfin.com/photo/rent/f4c19c6f-d42f-4069-ab9a-db02c142c5b2/islphoto/genIsl.0_1.jpg,2502 E 2nd St, Austin,TX,78702
10,"9405 Castle Pines Dr, Austin, TX 78717","$2,500/mo",3 beds,2 baths,"2,196 sq ft","Beautifully updated home in Cherry Creek! This 3 bed, 2 bathroom home offers ample natural light, a spacious living area with fireplace, dedicated dining area, stainless steel appliances, vaulted ceil",30.4924201,-97.7616168,https://www.redfin.com/TX/Austin/9405-Castle-Pines-Dr-78717/home/32562041,https://ssl.cdn-redfin.com/photo/rent/f4c19c6f-d42f-4069-ab9a-db02c142c5b2/islphoto/genIsl.1_1.jpg,9405 Castle Pines Dr, Austin,TX,78717
11,"6704 Krollton Dr, Austin, TX 78745","$3,200/mo",3 beds,2 baths,"1,410 sq ft","MOVE-IN SPECIAL!!! $250 OFF YOUR 1ST FULL MONTH'S RENT<br><br>Lovely Austin home in a fantastic neighborhood! Enjoy a spacious living room that flows into the dining area and bright, all-white kitchen",30.2075355,-97.8120552,https://www.redfin.com/TX/Austin/6704-Krollton-Dr-78745/home/31740067,https://ssl.cdn-redfin.com/photo/rent/f4c19c6f-d42f-4069-ab9a-db02c142c5b2/islphoto/genIsl.39_1.jpg,6704 Krollton Dr, Austin,TX,78745
