,Address,Price,Bed,Bath,SQFT,Lot Sqft,Description,latitude,longitude,Listing URL,Type of Home,Picture,Street,City,State,Zip Code
0,"11317 Midbury Ct, Austin, TX 78748","$485,000",3,25,2531,7230,"Exquisitely updated home!   This residence exudes modern charm with NEW carpet, stained concrete floors  &amp;  chic finishes, highlighted by a modern accent wall and designer fixtures. Plus enjoy the piece of mind of having a 2020 roof. Inside find a beautiful layout design bathed in natural light, creating a warm, welcoming space  &amp;  showcases a charming formal living/dining at the entry  &amp;  spacious living room w/ a cozy fireplace, accent wall  &amp;  picturesque backyard views. The stunning bay window dining area invites elegant gatherings, while the large kitchen hosts a plethora of cabinet/counter space, SS appliances  &amp;  even more windows. You&rsquo;ll love the enormous o",30.1570814,-97.8424112,https://www.redfin.com/TX/Austin/11317-Midbury-Ct-78748/home/31991949,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/969361_JPG/genDesktopMapHomeCardUrl/item_5.jpg,11317 Midbury Ct, Austin,TX,78748
1,"800 Embassy Dr #609, Austin, TX 78702","$950,000",2,25,1483,,"Tyndall at Robertson Hill Luxury Condominiums!  Welcome to one of Austin's premier high-rise condo locations, designed for the ultimate lock-and-leave lifestyle. Situated in an unbeatable location, Tyndall at Robertson Hill offers close proximity to Whole Foods, the Austin Convention Center, South Congress, and so much more. This building boasts world-class amenities, including a state-of-the-art gym, a stunning rooftop pool and bar, cozy fire pits, luxurious lounge spaces, grill stations, serene courtyards, and tranquil grottos for relaxation. Inside, unit #609 is a masterpiece of modern living. Elegant fixtures, floor-to-ceiling windows, 10ft ceilings, and lavish hardwood floors create an",30.2674586,-97.7323902,https://www.redfin.com/TX/Austin/800-Embassy-Dr-78702/unit-609/home/113607333,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/969361_JPG/genDesktopMapHomeCardUrl/item_7.jpg,800 Embassy Dr #609, Austin,TX,78702
3,"2004 Dinsdale Ln, Austin, TX 78741","$425,000",2,25,1488,,"Edgewick Condominiums is a gated community in Southeast Austin, offering an ideal location just minutes from central downtown and 15 minutes from the airport. Inside this stylish home, you'll find an open floor plan where the kitchen seamlessly integrates with the living area. The kitchen features luxurious amenities, including a 4-burner gas range, an undermount double sink, a walk-in pantry, and elegant quartz countertops. Upstairs, the spacious primary suite boasts a double vanity, a walk-in shower, and a large walk-in closet. The second floor also includes an additional bedroom, bathroom, and a bonus tech nook perfect for a home office or study. Residents can enjoy resort-style amenitie",30.4963906,-97.7622914,https://www.redfin.com/TX/Austin/15524-Fernhill-Dr-78717/home/32506470,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/955744_JPG/genDesktopMapHomeCardUrl/item_4.jpg,2004 Dinsdale Ln, Austin,TX,78741
4,"15524 Fernhill Dr, Austin, TX 78717","$850,000",4,35,3232,5662,"Welcome to this stunning corner lot home, featuring 4 bedrooms and 3.5 baths. Upon entering, you'll be greeted by soaring ceilings and Brazilian hand-scraped wood floors that add a touch of elegance to the downstairs area. The chef's kitchen is a culinary dream, boasting Bosch appliances and ample space for meal preparation. The primary bedroom, conveniently located downstairs, offers added privacy and comfort. The primary bath is a luxurious retreat with a large soaking tub, walk-in shower, dual vanity, and a spacious walk-in closet. Upstairs, you'll find a large loft/living area and three well-appointed bedrooms, each with its own walk-in closet. One of the upstairs bedrooms features a pr",30.3189531,-97.9977355,https://www.redfin.com/TX/Austin/16113-Goldstrum-Trl-78738/unit-50/home/144005870,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/955744_JPG/genDesktopMapHomeCardUrl/item_7.jpg,15524 Fernhill Dr, Austin,TX,78717
5,"16113 Goldstrum Trl #50, Austin, TX 78738","$715,000",3,2,1975,,"Must-See Bee Cave Lock  &amp;  Leave Condo!  Discover the perfect blend of luxury and convenience in this stunning stucco and stone condo located in the heart of Bee Cave. Nestled against a serene Greenbelt with access to trails, this home offers the best of nature and city living, with shops just minutes away. Enjoy the perks of low-maintenance living with VERY LOW HOA fees that cover mowing and partial upkeep. Step inside to an award-winning floor plan featuring modern hardwood floors and soaring high ceilings that create an airy and inviting atmosphere. The bright and expansive living room seamlessly flows into the charming dining area and lavish kitchen, complete with sleek quartz count",30.362805,-97.7334362,https://www.redfin.com/TX/Austin/8106-Logwood-Dr-78757/home/31496229,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/955744_JPG/genDesktopMapHomeCardUrl/item_2.jpg,16113 Goldstrum Trl #50, Austin,TX,78738
6,"8106 Logwood Dr, Austin, TX 78757","$700,000",3,2,1494,8842,"This charming 3-bedroom, 2-bath home, situated on a corner lot, offers a blend of modern updates and classic features, plus a detached studio. The property boasts a new roof (2022) and Hardiplank masonry siding with updated wall insulation for enhanced energy efficiency. Throughout the home, you'll find Shaw (Harmony) White Oak hardwood flooring and newly textured and painted interior walls. Custom-made sliding barn doors with premium hardware, solid wood doors with oil-rubbed bronze knobs, and Marvin custom double-pane casement windows with antique bronze hardware add a touch of elegance. The home is equipped with LED lighting upgrades that are dimmable and color adjustable, MinkaAire DC c",30.2785542,-97.7206878,https://www.redfin.com/TX/Austin/1709-Chicon-St-78702/home/31381258,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/968290_JPG/genDesktopMapHomeCardUrl/item_1.jpg,8106 Logwood Dr, Austin,TX,78757
7,"1709 Chicon St, Austin, TX 78702","$650,000",3,2,1128,4552,"Beautifully updated Old East Austin home with room for further personalization! Step inside to a bright living room with wood floors and a unique arched window. Updated kitchen features stone counters, SS appliances, tile backsplash, on-trend white cabinets, and a spacious dining room with a vaulted ceiling and lovely new light fixture. Retreat to the primary bedroom with an en-suite bath and spacious closet. Two secondary bedrooms and a full updated bath with a granite vanity are located in their own hallway for the ultimate in privacy. All bedrooms have wood floors - NO carpet! Fenced backyard has lots of potential. With a walkability score of 76, lots of great Austin treasures are just o",30.4307786,-97.7281473,https://www.redfin.com/TX/Austin/5120-Ganymede-Dr-78727/home/31563214,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/968290_JPG/genDesktopMapHomeCardUrl/item_2.jpg,1709 Chicon St, Austin,TX,78702
8,"5120 Ganymede Dr, Austin, TX 78727","$675,000",3,2,1380,7853,"Rare find in the desirable Millwood area, this beautifully remodeled home was updated with meticulous attention to detail and longevity in mind. The exterior has been stripped down to the beams, re-insulated, and covered with top-of-the-line Zipp System and Hardy Board, all finished with premium Benjamin Moore paint. The roof was replaced with premium architectural shingles, new sheathing, and brand-new metal curbing. Inside, you'll find everything has been renewed, including walls, flooring, cabinets, countertops, tile, and appliances. The backyard is a peaceful oasis with beautiful landscaping, a majestic oak tree that provides ample shade, turf for easy maintenance, and a pool for relaxi",30.244425,-97.7634443,https://www.redfin.com/TX/Austin/2301-S-5th-St-78704/unit-36/home/65993264,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/968290_JPG/genDesktopMapHomeCardUrl/item_36.jpg,5120 Ganymede Dr, Austin,TX,78727
9,"2301 S 5th St #36, Austin, TX 78704","$925,000",3,35,1700,,"Welcome to this contemporary luxury condo with unobstructed panoramic views of Downtown and the Hill Country. This exquisite residence features three bedrooms, three and one-half baths, and an expansive 800-square-foot private rooftop terrace. The private backyard offers a Swedish sauna and cold plunge pool, perfect for relaxation. The chef's kitchen and theater, equipped with a projector, Sonos sound system, and dining table which coverts to a pool table make this home ideal for entertaining. The exterior was completely remodeled just six months ago, and new, paid-off solar panels provide energy efficiency and reduced utility costs. Situated in a concrete and steel-constructed Leed 5-star ",30.158905,-97.8382801,https://www.redfin.com/TX/Austin/2220-Kaiser-Dr-78748/home/31828413,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/969485_JPG/genDesktopMapHomeCardUrl/item_3.jpg,2301 S 5th St #36, Austin,TX,78704
11,"2220 Kaiser Dr, Austin, TX 78748","$525,000",4,25,2885,5749,"Welcome to your dream home on a greenbelt lot in the desirable Hillcrest neighborhood! This stunning two-story, four-sided brick residence offers an exceptional floor plan with an abundance of natural light throughout. Featuring four spacious bedrooms and two and a half bathrooms, this home is designed for both comfort and style. The main level boasts an open and inviting layout with plenty of windows, creating a bright and airy atmosphere. The formal dining room can double as a second living area, providing versatile space for entertaining. The living room features a charming corner fireplace, perfect for cozy evenings. The open kitchen is a chef's delight, offering ample counter and cabin",30.2194533,-97.7371726,https://www.redfin.com/TX/Austin/3303-Santa-Fe-Dr-78741/home/31640867,SingleFamilyResidence,https://ssl.cdn-redfin.com/system_files/media/969485_JPG/genDesktopMapHomeCardUrl/item_57.jpg,2220 Kaiser Dr, Austin,TX,78748
